id;admin_id;admin_name;admin_email;admin_password;admin_created_at;admin_modified_at
1;25494;Mississippi;Indian Rupee;Bike Data;2021-03-11;2021-03-11
2;27554;Unbranded Concrete Car;Valleys Georgia Bacon;Web;2021-03-10;2021-03-11
3;36717;Associate Shoes Investor;Iceland markets Cambridgeshire;Auto Loan Account Ranch scale;2021-03-11;2021-03-10
4;74733;withdrawal Keyboard;Money Market Account Buckinghamshire;Wooden;2021-03-10;2021-03-10
5;85638;Gorgeous Cotton Shirt;Avon Tasty;Zimbabwe Dollar;2021-03-10;2021-03-10
6;91038;Regional Officer;Health Awesome Steel Computer Fish;override Money Market Account dynamic;2021-03-11;2021-03-11
7;81696;contextually-based;extensible Checking Account;Avon;2021-03-10;2021-03-11
8;34663;overriding SDD;Berkshire Stand-alone Alaska;Fresh SCSI;2021-03-10;2021-03-11
9;34124;bus;24/7 Unbranded hacking;Tasty auxiliary Hat;2021-03-10;2021-03-11
10;34481;Indiana;hub Louisiana;silver Metal National;2021-03-11;2021-03-11
